title,tags_x,genre,popularity,vote_count,vote_average
my little pony: a new generation,"robert cullen, josé lui ucha vanessa hudgens, kimiko glenn, jame marsden, sofia carson, liza koshy, ken jeong, elizabeth perkins, jane krakowski, michael mckean, phil lamarr children & famili movi equestria' divided. but a bright-ey hero believ earth ponies, pegasi and unicorn should be pal — and, hoof to heart, she’ determin to prove it.","Animation, Family, Fantasy, Comedy, Music, Adventure",137.815,190.0,popular
the starling,"theodor melfi melissa mccarthy, chri o'dowd, kevin kline, timothi olyphant, dave diggs, skyler gisondo, laura harrier, rosalind chao, kimberli quinn, loretta devine, ravi kapoor comedies, drama a woman adjust to life after a loss contend with a feisti bird that' taken over her garden — and a husband who' struggl to find a way forward.",Drama,27.515,174.0,popular
je suis karl,"christian schwochow luna wedler, janni niewöhner, milan peschel, edin hasanović, anna fialová, marlon boess, victor boccard, fleur geffrier, aziz dyab, mélani fouché, elizaveta maximová dramas, intern movi after most of her famili is murder in a terrorist bombing, a young woman is unknowingli lure into join the veri group that kill them.",Drama,19.294,20.0,not_popular
confessions of an invisible girl,"bruno garotti klara castanho, lucca picon, júlia gomes, marcu bessa, kiria malheiros, fernanda concon, gabriel lima, caio cabral, leonardo cidade, jade cardozo children & famili movies, comedi when the clever but socially-awkward tetê join a new school, she'll do anyth to fit in. but the queen bee among her classmat ha other ideas.","Comedy, Drama",62.097,144.0,average
intrusion,"adam salki freida pinto, logan marshall-green, robert john burke, megan elisabeth kelly, sarah minnich, hay hargrove, mark sivertsen, brandon fierro, antonio valles, clint obenchain thriller after a deadli home invas at a couple’ new dream house, the traumat wife search for answer — and learn the real danger is just beginning.",Thriller,60.475,412.0,below_avg
go! go! cory carson: chrissy takes the wheel,"alex woo, stanley moor maisi benson, paul killam, kerri gudjohnsen, ac lim children & famili movi from arcad game to sled day and hiccup cures, cori carson’ curiou littl sister chrissi speed off on her own for fun and adventur all over town!","Animation, Family",57.101,18.0,not_popular
grown ups,"denni dugan adam sandler, kevin james, chri rock, david spade, rob schneider, salma hayek, maria bello, maya rudolph, colin quinn, tim meadows, joyc van patten comedi mourn the loss of their belov junior high basketbal coach, five middle-ag pal reunit at a lake hous and rediscov the joy of be a kid.",Comedy,114.995,4837.0,below_avg
dark skies,"scott stewart keri russell, josh hamilton, j.k. simmons, dakota goyo, kadan rockett, l.j. benet, rich hutchman, myndi crist, anni thurman, jake brennan horror movies, sci-fi & fantasi a family’ idyl suburban life shatter when an alien forc invad their home, and as they struggl to convinc other of the deadli threat.","Science Fiction, Thriller, Horror",34.921,1449.0,below_avg
the father who moves mountains,"daniel sandu adrian titieni, elena purea, judith state, valeriu andriuță, tudor smoleanu, virgil aioanei, radu botar, petronela grigorescu, bogdan nechifor, cristian bota dramas, intern movies, thriller when hi son goe miss dure a snowi hike in the mountains, a retir intellig offic will stop at noth — and risk everyth — to find him.","Drama, Thriller",32.833,59.0,not_popular
the stronghold,"cédric jimenez gill lellouche, karim leklou, françoi civil, adèl exarchopoulos, kenza fortas, cyril lecomte, michaël abiteboul, idir azougli, vincent darmuzey, jean-yv berteloot action & adventure, dramas, intern movi tire of the small-tim grind, three marseil cop get a chanc to bust a major drug network. but line blur when a key inform make a big ask.",Thriller,148.876,710.0,popular
birth of the dragon,"georg nolfi billi magnussen, ron yuan, qu jingjing, terri chen, van wu, jin xing, philip ng, xia yu, yu xia action & adventure, drama a young bruce lee anger kung fu traditionalist by teach outsiders, lead to a showdown with a shaolin master in thi film base on real events.","Action, Drama",25.35,251.0,not_popular
